Code,Category,Group,Activity Name,Arabic Name,Third Party,When,Notes
1811,Media,181,Printing,الطباعة,UAE Media Council,POST,
1811.01,Media,181,"Printing of newspapers, magazines and other periodicals, books and brochures, music and music manuscripts, maps, atlases, posters, advertising catalogues, prospectuses and other printed advertising, postage stamps, taxation stamps, documents of title, cheques and other security papers, diaries, calendars, business forms and other commercial printed matter, personal stationery and other printed matter by letterpress, offset, photogravure, flexographic and other printing presses, duplication machines, computer printers, embossers etc., including quick printing. the material printed is typically copyrighted",طباعة الُصحف والمجلات والدوريات الأخرى، الُكتب والمنشورات، الموسيقى والمؤلفات الموسيقية، الخرائط، الأطالس، الملصقات، كتالوجات الإعلانات، النشرات التمهيدية وغيرها من مواد الإعلان المطبوعة، طوابع البريد، طوابع الضرائب، وثائق حقوق الملكية، الشيكات والسندات الأخرى، اليوميات، التقاويم، الاستمارات التجارية والمواد التجارية المطبوعة الأخرى، المواد المكتبية الشخصية والمواد المطبوعة بطابعات الحروف، طباعة الاوفست، الحفر الضوئي، الفليكسوغرافيا، آلات الطباعة الأخرى، ماكينات استخراج النُسخ، طابعات الحواسيب، طابعات الحروف البارزة، إلخ ، بما في ذلك الطباعة السريعة. وتكون المادة المطبوعة نمطيا خاضعة لحقوق الطبع,UAE Media Council,POST,
1811.02,Media,181,"Printing directly onto textiles, plastic, glass, metal, wood and ceramics (except silkscreen printing on textiles and wearing apparel)the material printed is typically copyrighted.",الطباعة المباشرة على النسيج والزجاج اللدائني والمعادن والخشب والخزف (باستثناء الطباعة السطحية على المنسوجات والملابس).وتكون المادة المطبوعة نمطيا خاضعة لحقوق الطبع,N/A,N/A,
1811.03,Media,181,"Printing on labels or tags (lithographic, gravure printing, flexographic printing, other)",الطباعة على بطاقات المنتجات أو الإعلانات (الطباعة الليثوغرافية، طباعة الحفر، والفلكسوغرافية، وغير ذلك),UAE Media Council,POST,
1811.04,Media,181,Multi dimensional printing services,خدمات الطباعة متعددة الأبعاد,UAE Media Council,POST,
1811.05,Media,181,"Printing,Advertising Agencies And Event Organizing",وكالات الطباعة والاعلان وتنظيم الفعاليات,UAE Media Council,POST,
1811.07,Media,181,"Packaging activities, Printing Services",أنشطة التعبئة والتغليف ، خدمات الطباعة,UAE Media Council,POST,
1812,Media,181,Service activities related to printing,أنشطة الخدمات المتصلة بالطباعة,UAE Media Council,POST,
1812.01,Media,181,"Binding of printed sheets, e.g. into books, brochures, magazines, catalogues etc., byfolding, assembling, stitching, glueing, collating, basting, adhesive binding, trimming, gold stamping",تجليد الصفحات المطبوعة، وذلك مثلاً في شكل كتب أو نشرات أو مجلات أو كتالوجات، إلخ ، عن طريق الطي أو التجميع أو الحياكة أو اللصق بالغراء أو تجميع الملازم أو التسريج أو التجليد باللصق أو التسوية أو الكتابة بحروف مذهبة,UAE Media Council,POST,
1812.02,Media,181,"Composition, typesetting, phototypesetting, pre-press data input including scanning and optical character recognition, electronic make-up",رص الحروف، جمع الحروف، جمع الحروف ضوئيا، إدخال بيانات قبل الطباعة بما في ذلك المسح الالكتروني والتعرف على الحروف بصري ، التجهيز الالكتروني للطباعة,UAE Media Council,POST,
1812.03,Media,181,Plate-making services including imagesetting and plate-setting (for the printing processes letterpress and offset),خدمات صنع ألواح الطباعة بما في ذلك تشكيل الصور و تجهيز الألواح (من أجل عمليات الطباعة وطابعات الحروف وطابعات الاوفست),UAE Media Council,POST,
1812.04,Media,181,Engraving or etching of cylinders for gravure,حفر الأسطوانات أو تنميشها بالأحماض لتشكيل النقوش,UAE Media Council,POST,
1812.05,Media,181,Plate processes direct to plate (also photopolymer plates),إجراء عمليات الألواح مباشرة على ا لألواح وأيضا ألواح البلمرات الضوئية)),UAE Media Council,POST,
1812.06,Media,181,Preparation of plates and dies for relief stamping or printing,إعداد الألواح والقوالب للختم البارز أو الطباعة,UAE Media Council,POST,
1812.07,Media,181,Production of proofs,إنتاج صور التجارب الطباعية,UAE Media Council,POST,
1812.08,Media,181,Artistic work including preparation of litho stones and prepared woodblocks,الأعمال الفنية بما فيها إعداد أحجار الليثوغراف والكتل الخشبية المحضرة,UAE Media Council,POST,
1812.09,Media,181,Production of reprographic products,إنتاج المنتجات المستنسخة بالرسم,UAE Media Council,POST,
1812.1,Media,181,"Design of printing products e.g. sketches, layouts, dummies etc.",تصميم منتجات الطباعة، مثل الرسوم التوضيحية والمخططات والنماذج المجسدة، إلخ،,UAE Media Council,POST,
1812.11,Media,181,"Other graphic activities such as die-sinking or die-stamping, braille copying, punching and drilling, embossing, varnishing and laminating, collating and insetting, creasing",أنشطة تصويرية أخرى مثل حفر القوالب أو الختم بالقوالب، استنساخ بطريقة بريل، الخرم والتثقيب، الطباعة البارزة، الطلاء بالورنيش والترقيق على شكل صفائح، و تجميع وإدخال الملازم، التحزيز,UAE Media Council,POST,
1812.12,Media,181,Composition and Typesetting,تركيب وتنضيد الحروف للطباعة,UAE Media Council,POST,
1812.97,Media,181,Design & Artwork Services,خدمات تصميم العمل الفني,UAE Media Council,POST,
1820,Media,182,Reproduction of recorded media,استنساخ وسائط الإعلام المسجَّلة,UAE Media Council,POST,
1820.01,Media,182,"Reproduction from master copies of gramophone records, compact discs and tapes with music or other sound recordings",استنساخ اسطوانات الغراموفون والأقراص المدمجة والشرائط التي سجلت عليها أعمال موسيقية أو تسجيلات صوتية أخرى من النُسخ الأم,UAE Media Council,POST,
1820.02,Media,182,"Reproduction from master copies of records, compact discs and tapes with motion pictures and other video recordings",استنساخ أسطوانات وأقراص مدمجة وشرائط ُسجلت عليها صور متحركة وتسجيلات فيديو أخرى من النُسخ الأم,UAE Media Council,POST,
1820.03,Media,182,Reproduction from master copies of software and data on discs and tapes,استنساخ برمجيات وبيانات موجودة على أقراص وأشرطة من النُسخ الأم,UAE Media Council,POST,
2396,Service and Consultancy,239,"Cutting, shaping and finishing of stone",قطع وتشكيل وصقل الأحجار,N/A,N/A,
3310,Service and Consultancy,331,"Repair of fabricated metal products, machinery and equipment",إصلاح منتجات المعادن المشكلة والآلات والمعدات,N/A,N/A,
3313,Service and Consultancy,331,Repair of electronic and optical equipment,إصلاح المعدات الإلكترونية والبصرية,N/A,N/A,
3313.01,Service and Consultancy,331,"Repair and maintenance of the measuring, testing, navigating and control equipment such as:• Aircraft engine instruments• Automotive emissions testing equipment• Meteorological instruments• Physical, electrical and chemical properties testing and inspection equipment• Surveying instruments• Radiation detection and monitoring instruments","إصلاح وصيانة معدات القياس، والاختبار، والملاحة، والسيطرة مثل: 
 • أجهزة محركات الطائرات
 • معدات اختبار انبعاثات السيارات
 • أجهزة الأرصاد الجوية
 • معدات اختبار وفحص الخواص الفيزيائية والكهربائية والكيميائية
 • أجهزة المساحة
 • أجهزة تحري ورصد الإشعاع",N/A,N/A,
3313.02,Service and Consultancy,331,"Repair and maintenance of irradiation, electromedical and electrotherapeutic equipment such as:• Magnetic resonance imaging equipment• Medical ultrasound equipment• Pacemakers• Hearing aids• Electrocardiographs• Electromedical endoscopic equipment• Irradiation apparatus","إصلاح وصيانة معدات الإشعاع والمعدات الكهربائية والإلكترونية المستخدمة للأغراض الطبية، مثل: 
 • معدات التصوير بالرنين المغناطيسي
 • المعدات الطبية فوق الصوتية
 • أجهزة ضبط نبضات القلب
 • المعينات الصوتية
 • أجهزة رسم نبضات القلب
 • معدات المناظير الطبية الإلكترونية
 • أجهزة الإشعاع",N/A,N/A,
3313.03,Service and Consultancy,331,"Repair and maintenance of optical instruments and equipment, if the use is mainly commercial, such as:• Binoculars• Microscopes (except electron and proton microscopes)• Telescopes• Prisms and lenses (except ophthalmic)• Photographic equipment","إصلاح وصيانة الأجهزة والمعدات البصرية إذا كان الاستعمال تجاريا في المقام الأول، مثل: 
 • النظارات المكبرة
 • المجهر (فيما عدا المجهر الإلكتروني والبروتوني)
 • التليسكوب
 • المخروطات والعدسات (فيما عدا المستخدمة في علاج الإبصار)
 • معدات التصوير",N/A,N/A,
3320,Service and Consultancy,332,Installation of industrial machinery and equipment,تركيب الآلات والمعدات الصناعية,N/A,N/A,
3320.01,Service and Consultancy,332,Installation of industrial machinery in industrial plant,تركيب الآلات الصناعية في المصانع,N/A,N/A,
3320.02,Service and Consultancy,332,Installation of industrial process control equipment,تركيب معدات ضبط العمليات الصناعية,N/A,N/A,
3320.03,Service and Consultancy,332,"Installation of other industrial equipment, e.g.:• Communications equipment• Mainframe and similar computers• Irradiation and electromedical equipment etc.","تركيب المعدات الصناعية الأخرى، مثل: 
 • معدات الإتصالات
 • أجهزة الحاسوب الرئيسية والطرفية
 • معدات الإشعاع والمعدات الكهربائية الطبية",N/A,N/A,
3320.04,Service and Consultancy,332,Dismantling large-scale machinery and equipment,فك الآلات والمعدات الضخمة,N/A,N/A,
3320.05,Service and Consultancy,332,Activities of millwrights,أنشطة ميكانيكا الآلات,N/A,N/A,
3320.06,Service and Consultancy,332,Machine rigging,تركيب آلات الحفر,N/A,N/A,
3320.07,Service and Consultancy,332,Installation of bowling alley equipment,تركيب تجهيزات صالات البولينغ,N/A,N/A,
3320.08,Service and Consultancy,332,Industrial installations inspection consultancy,استشارات فحص المنشآت الصناعية,N/A,N/A,
3320.09,Service and Consultancy,332,"Medical and laboratories equipments and apparatuses installation, maintenance and repairing",تركيب الأجهزة والمعدات الطبية والمخبرية,N/A,N/A,
3811.02,Service and Consultancy,381,Collection of recyclable materials,جمع المواد القابلة للتدوير,N/A,N/A,
3900,Service and Consultancy,390,Remediation activities and other waste management services,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,N/A,N/A,
4321,Service and Consultancy,432,Electrical installation,التركيبات الكهربائية,Sharjah Municipality  / Sharjah Civil Defense Authority,POST,
4321.01,Service and Consultancy,432,"Installation of:• Electrical wiring and fittings• Telecommunications wiring• Computer network and cable television wiring, including fibre optic• Satellite dishes• Lighting systems• Fire alarms• Burglar alarm systems• Street lighting and electrical signals• Airport runway lighting","التركيبات التالية: 
 • مّد الأسلاك والتركيبات الكهربائية
 • مد أسلاك الاتصالات
 • مد شبكات الحاسوب والكابل التليفزيوني، بما في ذلك الأسلاك البصرية
 • الأطباق الساتلية
 • نُظم الإضاءة
 • نُظم الإنذار للحريق
 • نُظم الإنذار للسرقة
 • إضاءة الشوارع والإشارات الكهربائية
 • إضاءة المطارات والمهابط",Sharjah Municipality  / Sharjah Civil Defense Authority,POST,
4321.02,Service and Consultancy,432,"Connecting of electric appliances and household equipment, including baseboard heating",تركيب الأجهزة الكهربائية والمعدات المنزلية، بما في ذلك التدفئة الأرضية,N/A,N/A,
4322,Service and Consultancy,432,"Plumbing, heat and air-conditioning installation",أعمال السباكة والتدفئة وتكييف الهواء,Sharjah Municipality  / Sharjah Civil Defense Authority,POST,
4322.01,Service and Consultancy,432,"Installation in buildings or other construction projects of:• Heating systems (electric, gas and oil)• Furnaces, cooling towers• Non-electric solar energy collectors• Plumbing and sanitary equipment• Ventilation, refrigeration or air-conditioning equipment and ducts• Gas fittings• Steam piping• Fire sprinkler systems• Lawn sprinkler systems","تركيب ما يلي في المباني وغيرها من المشاريع الإنشائية: 
 • نُظم التدفئة (كهرباء، غاز، نفط)
 • الأفران، وأبراج التبريد
 • بطاريات تجميع الطاقة الشمسية غير الكهربائية
 • معدات السباكة والإصحاح
 • معدات التهوئة والتبريد وتكييف الهواء ومجاريها
 • تركيبات الغاز
 • أنابيب البخار
 • نُظم إطفاء الحريق
 • نُظم ري الحدائق",Sharjah Municipality  / Sharjah Civil Defense Authority,POST,
