activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
(G.P.S) Retai sale of Global Positioning System,100001.0,47,474,4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,Ajman,
(without Repair) Towing and Transporting of Broken Down Cars,100002.0,52,522,5221,Service activities incidental to land transportation,,Ajman,
3d Printing Products Production,100004.0,32,329,3290,Other manufacturing n.e.c.,,Ajman,
Accounting & Bookkeeping,100010.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,Ajman,
Accounting & Bookkeeping,100010.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,Ajman,
Accounting Records and Books Keeping Organization,100010.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,Ajman,
"Accounting, bookkeeping and auditing activities; tax consultancy",100010.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,Ajman,
"Accounting, bookkeeping and auditing activities; tax consultancy",100010.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,Ajman,
Accounts Auditing.,100010.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,Ajman,
Acids & Alkalines Trading,100013.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,Ajman,
Acting and Related Arts Training,100016.0,85,854,8542,Cultural education,,Ajman,
Activities of amusement parks and theme parks,100022.0,93,932,9321,Activities of amusement parks and theme parks,,Ajman,
Activities of call centres,100027.0,82,822,8220,Activities of call centres,,Ajman,
Activities of head offices,100040.0,70,701,7010,Activities of head offices,,Ajman,
Activity Flavours & fragrances trading - Import & Export,100081.0,46,463,4630,"Wholesale of food, beverages and tobacco",,Ajman,
Adhesive Cards Manufacturing,100086.0,20,202,2029,Manufacture of other chemical products n.e.c.,,Ajman,
Adhesive Materials Manufacturing,100086.0,20,202,2029,Manufacture of other chemical products n.e.c.,,Ajman,
Administrative Training Services,100091.0,85,855,8550,Educational support activities,,Ajman,
Advertisement Designing & Producing,100096.0,73,731,7310,Advertising,,Ajman,
Advertisement Designing & Producing,100096.0,73,731,7310,Advertising,,Ajman,
Advertisement Material and Samples Distribution,100097.0,73,731,7310,Advertising,,Ajman,
Advertisement Material and Samples Distribution,100097.0,73,731,7310,Advertising,,Ajman,
Advertising,100096.0,73,731,7310,Advertising,,Ajman,
Advertising,100096.0,73,731,7310,Advertising,,Ajman,
Advertising,100096.0,73,731,7310,Advertising,,Ajman,
Advertising Requisites Trading,100099.0,46,465,4659,Wholesale of other machinery and equipment,,Ajman,
Advertising Researches & Consultancies,100100.0,73,731,7310,Advertising,,Ajman,
Advertising Researches & Consultancies,100100.0,73,731,7310,Advertising,,Ajman,
Advertising services through websites,100101.0,73,731,7310,Advertising,,Ajman,
Advertising services through websites,100101.0,73,731,7310,Advertising,,Ajman,
Agarwood and Incense Manufacturing,100109.0,20,202,2029,Manufacture of other chemical products n.e.c.,,Ajman,
Agents Care Centre,100111.0,82,829,8299,Other business support service activities n.e.c.,,Ajman,
Agents titling,100113.0,66,662,6622,Activities of insurance agents and brokers,,Ajman,
"Agricultural Enterprises Investment, Institution and Management",100117.0,66,663,6630,Fund management activities,,Ajman,
Agricultural Pests Pesticides Manufacturing,100124.0,20,202,2021,Manufacture of pesticides and other agrochemical products,,Ajman,
Agricultural Research & Consultancy,100127.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,Ajman,
Agricultural Tractors Manufacturing,100130.0,28,282,2821,Manufacture of agricultural and forestry machinery,,Ajman,
Agriculture and Animal and Fisheries Wealth Engineering Consultancy,100131.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,Ajman,
Air Cargo Services,100139.0,52,522,5224,Cargo handling,,Ajman,
Air Conditioner Units Assembling,100142.0,28,281,2819,Manufacture of other general-purpose machinery,,Ajman,
Air Conditioner Units Manufacturing,100143.0,28,281,2819,Manufacture of other general-purpose machinery,,Ajman,
Air Filters Manufacturing,100145.0,28,281,2819,Manufacture of other general-purpose machinery,,Ajman,
Air Filters Manufacturing,100145.0,28,281,2819,Manufacture of other general-purpose machinery,,Ajman,
Air Freight & Passengers Charters,100146.0,51,511,5110,Passenger air transport,,Ajman,
Air Means of Transportation Inspection and Classification,100147.0,71,712,7120,Technical testing and analysis,,Ajman,
Air water generators Trading Import & Export,100151.0,46,464,4649,Wholesale of other household goods,,Ajman,
"Air-Condition, Refrigeration Spare Parts & Components Trading",100144.0,46,465,4659,Wholesale of other machinery and equipment,,Ajman,
"Air-Condition, Ventilations, Air Filtration Systems Installation & Maintenance",100152.0,43,432,4322,"Plumbing, heat and air-conditioning installation",,Ajman,
Aircraft Scrap & Used Spare Parts Trading,100165.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,Ajman,
Aircraft Spare Parts & Components Trading Import & Export,100167.0,46,465,4659,Wholesale of other machinery and equipment,,Ajman,
Airline Travel Agency,100174.0,79,791,7911,Travel agency activities,,Ajman,
"Alarm Systems Installation, Fitting and Repair",100184.0,43,432,4321,Electrical installation,,Ajman,
Albums Manufacturing,100185.0,32,329,3290,Other manufacturing n.e.c.,,Ajman,
All Kind Building Projects Contracting,100186.0,46,461,4610,Wholesale on a fee or contract basis,,Ajman,
Alternative Power and Researches Consultancy,100188.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,Ajman,
Aluminium Installation Works,100189.0,43,432,4329,Other construction installation,,Ajman,
Aluminum Foils Manufacturing,100193.0,24,242,2420,Manufacture of basic precious and other non-ferrous metals,,Ajman,
Aluminum Plates and Containers Manufacturing,100194.0,25,259,2599,Manufacture of other fabricated metal products n.e.c.,,Ajman,
Aluminum Rolling,100196.0,24,242,2420,Manufacture of basic precious and other non-ferrous metals,,Ajman,
Aluminum Smelter and Extraction,100197.0,24,242,2420,Manufacture of basic precious and other non-ferrous metals,,Ajman,
Ambulant Manufacturing,100200.0,21,210,2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",,Ajman,
Animal & Poultry Farms Equipment Trading,100207.0,46,465,4659,Wholesale of other machinery and equipment,,Ajman,
Animal Feed Manufacturing,100210.0,10,108,1080,Manufacture of prepared animal feeds,,Ajman,
Animal Oil and Fat Manufacturing,100215.0,10,104,1040,Manufacture of vegetable and animal oils and fats,,Ajman,
animals Pets Raising,100218.0,75,750,7500,Veterinary activities,,Ajman,
Anti Corrosion Materials Manufacturing,100225.0,20,202,2029,Manufacture of other chemical products n.e.c.,,Ajman,
Antiquities and Precious Acquisitions Repairing,100229.0,95,952,9529,Repair of other personal and household goods,,Ajman,
Antiquities and Traditional Instruments and Ware Making,100230.0,23,231,2310,Manufacture of glass and glass products,,Ajman,
Arab Wear Trading,100239.0,47,477,4771,"Retail sale of clothing, footwear and leather articles in specialized stores",,Ajman,
Archeological Restoration & Conservation Engineering Services,100246.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,Ajman,
Architectural Engineering Consultancy,100252.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,Ajman,
Architectural Production and Drawing Technical Consultancy,100253.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,Ajman,
Architectural Production and Drawing Technical Consultancy,100253.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,Ajman,
Art Gallery,100259.0,90,900,9000,"Creative, arts and entertainment activities",,Ajman,
Artificial Flowers and Plants Trading,100265.0,46,464,4649,Wholesale of other household goods,,Ajman,
Artificial Intelligence Developing Services,100266.0,72,722,7220,Research and experimental development on social sciences and humanities,,Ajman,
Artificial Marble Manufacturing,100268.0,23,239,2399,Manufacture of other non-metallic mineral products n.e.c.,,Ajman,
Artificial Plants & Flowers Making,100269.0,32,329,3290,Other manufacturing n.e.c.,,Ajman,
Artistic Bands Contracting,100271.0,90,900,9000,"Creative, arts and entertainment activities",,Ajman,
Artistic Bands Contracting,100271.0,90,900,9000,"Creative, arts and entertainment activities",,Ajman,
Artwork for cosmetic Craft (sculpture),100275.0,90,900,9000,"Creative, arts and entertainment activities",,Ajman,
Asphalt and Paving Materials,100277.0,23,239,2399,Manufacture of other non-metallic mineral products n.e.c.,,Ajman,
Assembling computers - Import & Export,100278.0,46,465,4651,"Wholesale of computers, computer peripheral equipment and software",,Ajman,
Assembling of water treatment systems and blending of related chemicals,100279.0,28,282,2829,Manufacture of other special-purpose machinery,,Ajman,
Auction Hall,100291.0,45,454,4540,"Sale, maintenance and repair of motorcycles and related parts and accessories",,Ajman,
Auction Hall-Import & Export,100292.0,46,469,4690,Non-specialized wholesale trade,,Ajman,
Auctions Organization and Management,100295.0,82,829,8299,Other business support service activities n.e.c.,,Ajman,
Auctions Organization and Management,100295.0,82,829,8299,Other business support service activities n.e.c.,,Ajman,
Audio Recordings Wholesale,100299.0,46,464,4649,Wholesale of other household goods,,Ajman,
Audio-visual Devices and Network Advertisements,100303.0,73,731,7310,Advertising,,Ajman,
Audio-visual Devices and Network Advertisements,100303.0,73,731,7310,Advertising,,Ajman,
"Auditing, Reviewing &Testing Cyber Risks",100306.0,62,620,6202,Computer consultancy and computer facilities management activities,,Ajman,
"Authentic Antiques, Artefacts & Artworks Trading - Import & Export",100308.0,46,464,4649,Wholesale of other household goods,,Ajman,
"Authentic Antiques, Artefacts & Artworks Trading - Import & Export",100308.0,46,464,4649,Wholesale of other household goods,,Ajman,
Auto Electrical Wires Manufacturing,100314.0,27,273,2732,Manufacture of other electronic and electric wires and cables,,Ajman,
Auto Irrigation Devices Manufacturing,100317.0,28,282,2821,Manufacture of agricultural and forestry machinery,,Ajman,
Auto Phones Installation & Repair,100319.0,45,452,4520,Maintenance and repair of motor vehicles,,Ajman,
Auto Phones Installation & Repair,100319.0,45,452,4520,Maintenance and repair of motor vehicles,,Ajman,
Auto Spare Parts & Components Trading - Import & Export,100324.0,45,453,4530,Sale of motor vehicle parts and accessories,,Ajman,
Auto Spare Parts & Components Trading - Import & Export,100324.0,45,453,4530,Sale of motor vehicle parts and accessories,,Ajman,
Auto Upholstery manufacturing,100326.0,31,310,3100,Manufacture of furniture,,Ajman,
Automatic Gates & Barriers Manufacturing,100329.0,28,281,2819,Manufacture of other general-purpose machinery,,Ajman,
Automobile Assembling,100331.0,29,291,2910,Manufacture of motor vehicles,,Ajman,
Automobile Special Accessories Fitting,100335.0,29,291,2910,Manufacture of motor vehicles,,Ajman,
Automobile Special Accessories Fitting,100335.0,29,291,2910,Manufacture of motor vehicles,,Ajman,
Aviation Consultancy,100340.0,52,522,5229,Other transportation support activities,,Ajman,
Aviation Consultancy,100340.0,52,522,5229,Other transportation support activities,,Ajman,
Baby Food Manufacturing,100352.0,10,107,1079,Manufacture of other food products n.e.c.,,Ajman,
Baby Food Trading - Import & Export,100353.0,46,463,4630,"Wholesale of food, beverages and tobacco",,Ajman,
Baby Wear Trading,100355.0,46,464,4641,"Wholesale of textiles, clothing and footwear",,Ajman,
Banking Services Consultancy,100373.0,66,661,6619,Other activities auxiliary to financial service activities,,Ajman,
Barbed Wires Manufacturing,100376.0,25,259,2599,Manufacture of other fabricated metal products n.e.c.,,Ajman,
Basic Organic Chemical Acids Manufacturing,100382.0,20,201,2011,Manufacture of basic chemicals,,Ajman,
Beach Camping,100390.0,55,552,5520,"Camping grounds, recreational vehicle parks and trailer parks",,Ajman,
Bearing Manufacturing,100392.0,28,281,2814,"Manufacture of bearings, gears, gearing and driving elements",,Ajman,
Beauty & Personal Care Requisites Manufacturing,100394.0,32,329,3290,Other manufacturing n.e.c.,,Ajman,
Beauty & Personal Care Requisites Trading - Import & Export,100395.0,46,464,4649,Wholesale of other household goods,,Ajman,
Beauty & Personal Care Requisites Trading - Import & Export,100395.0,46,464,4649,Wholesale of other household goods,,Ajman,
Bed Sheets and Household Linen Manufacturing,100398.0,13,139,1392,"Manufacture of made-up textile articles, except apparel",,Ajman,
Beverage serving activities,100400.0,56,563,5630,Beverage serving activities,,Ajman,
Beverage serving activities,100400.0,56,563,5630,Beverage serving activities,,Ajman,
Bicycles Manufacturing,100404.0,30,309,3092,Manufacture of bicycles and invalid carriages,,Ajman,
Bicycles Renting,100405.0,77,772,7721,Renting and leasing of recreational and sports goods,,Ajman,
Bicycles Repairing,100406.0,95,952,9529,Repair of other personal and household goods,,Ajman,
Bicycles Repairing,100406.0,95,952,9529,Repair of other personal and household goods,,Ajman,
Billiard & Pool Room,100409.0,93,931,9311,Operation of sports facilities,,Ajman,
Biscuits Manufacturing,100416.0,10,107,1071,Manufacture of bakery products,,Ajman,
"Blankets, Towels & Linens Trading - Import & Export",100420.0,46,464,4641,"Wholesale of textiles, clothing and footwear",,Ajman,
Bleaching Products Manufacturing,100427.0,20,202,2029,Manufacture of other chemical products n.e.c.,,Ajman,
Body Building Club,100440.0,93,931,9312,Activities of sports clubs,,Ajman,
Book Publication,100444.0,58,581,5811,Book publishing,,Ajman,
Book publishing,100444.0,58,581,5811,Book publishing,,Ajman,
Book publishing,100444.0,58,581,5811,Book publishing,,Ajman,
