activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
3D Printing Products Production,100004.0,32,329,3290,Other manufacturing n.e.c.,,ANVC,
Accounting & Bookkeeping,100010.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,ANVC,
"Accounting, Bookkeeping And Tax Consultancy",100010.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,ANVC,
Acids & Alkalines Trading,100013.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,ANVC,
Activities of head offices,100040.0,70,701,7010,Activities of head offices,,ANVC,
Activities of holding companies,100041.0,64,642,6420,Activities of holding companies,,ANVC,
Adhesives Trading,100087.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,ANVC,
Advertisement Designing & Producing,100096.0,73,731,7310,Advertising,,ANVC,
Advertising,100096.0,73,731,7310,Advertising,,ANVC,
Advertising Agency,100096.0,73,731,7310,Advertising,,ANVC,
Advertising Requisites Trading,100099.0,46,465,4659,Wholesale of other machinery and equipment,,ANVC,
Advertising Researches & Consultancies,100100.0,73,731,7310,Advertising,,ANVC,
Advertising Services Via Websites,100101.0,73,731,7310,Advertising,,ANVC,
Agarwood & Incense Trading,100110.0,46,464,4649,Wholesale of other household goods,,ANVC,
Agricultural Crops Selling,100116.0,46,462,4620,Wholesale of agricultural raw materials and live animals,,ANVC,
Agricultural Equipment & Accessories Trading,100118.0,46,465,4653,"Wholesale of agricultural machinery, equipment and supplies",,ANVC,
Agricultural Equipment & Machinery Spare Parts Trading,100120.0,46,465,4653,"Wholesale of agricultural machinery, equipment and supplies",,ANVC,
Agricultural Pesticides Trading,100125.0,47,477,4773,Other retail sale of new goods in specialized stores,,ANVC,
Agricultural Research & Consultancy,100127.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,ANVC,
Agricultural Tools Trading,100128.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,ANVC,
Agricultural Tractors & Machinery Trading,100129.0,47,477,4773,Other retail sale of new goods in specialized stores,,ANVC,
AI Data Analysis,100133.0,62,620,6201,Computer programming activities,,ANVC,
AI Data Collection,100134.0,62,620,6201,Computer programming activities,,ANVC,
AI Data Visualization,100135.0,62,620,6201,Computer programming activities,,ANVC,
Air Cargo Agent,100138.0,52,522,5229,Other transportation support activities,,ANVC,
Air Cargo Services,100139.0,52,522,5224,Cargo handling,,ANVC,
Air-Condition Trading,100141.0,46,465,4659,Wholesale of other machinery and equipment,,ANVC,
"Air-Condition, Refrigeration Spare Parts & Components Trading",100144.0,46,465,4659,Wholesale of other machinery and equipment,,ANVC,
Aircraft Spare Parts & Components Trading,100167.0,47,477,4773,Other retail sale of new goods in specialized stores,,ANVC,
Airline Inflight Products Trading,100173.0,46,465,4659,Wholesale of other machinery and equipment,,ANVC,
Airport Equipment Trading,100178.0,46,465,4659,Wholesale of other machinery and equipment,,ANVC,
Animal & Birds Feed Trading,100206.0,46,462,4620,Wholesale of agricultural raw materials and live animals,,ANVC,
Animal & Poultry Farms Equipment Trading,100207.0,46,465,4659,Wholesale of other machinery and equipment,,ANVC,
Animal Fodder Supplements Trading,100212.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,ANVC,
Animals & Birds Requisites Trading,100217.0,47,477,4773,Other retail sale of new goods in specialized stores,,ANVC,
Antennas Trading,100224.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,ANVC,
Aquarium & Display Cases Trading,100235.0,47,477,4773,Other retail sale of new goods in specialized stores,,ANVC,
Aquariums & Display Cases Trading,100235.0,47,477,4773,Other retail sale of new goods in specialized stores,,ANVC,
Arab Wear Trading,100239.0,47,477,4771,"Retail sale of clothing, footwear and leather articles in specialized stores",,ANVC,
Architectural Engineering Consultancy,100252.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,ANVC,
