activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
3D Printing Products Production,100004.0,32,329,3290,Other manufacturing n.e.c.,,IFZA,
Accidents Casualties Support Services,100009.0,86,869,8690,Other human health activities,,IFZA,
Accounting & Bookkeeping,100010.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,IFZA,
Accounting & Office Machinery Rental,100011.0,77,773,7730,"Renting and leasing of other machinery, equipment and tangible goods",,IFZA,
Acids & Alkalines Trading,100013.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,IFZA,
Adhesives Trading,100087.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,IFZA,
Advertisement Designing & Producing,100096.0,73,731,7310,Advertising,,IFZA,
Advertising Requisites Trading,100099.0,46,465,4659,Wholesale of other machinery and equipment,,IFZA,
Advertising Researches & Consultancies,100100.0,73,731,7310,Advertising,,IFZA,
Advertising Services via Websites,100101.0,73,731,7310,Advertising,,IFZA,
Aerial Advertising Services,100106.0,73,731,7310,Advertising,,IFZA,
Aerial photography services,100107.0,74,742,7420,Photographic activities,,IFZA,
Agarwood & Incense Trading,100110.0,46,464,4649,Wholesale of other household goods,,IFZA,
Agricultural Equipment & Accessories Trading,100118.0,46,465,4653,"Wholesale of agricultural machinery, equipment and supplies",,IFZA,
Agricultural Equipment & Machinery Spare Parts Trading,100120.0,46,465,4653,"Wholesale of agricultural machinery, equipment and supplies",,IFZA,
Agricultural Pesticides Trading Abroad,100125.0,47,477,4773,Other retail sale of new goods in specialized stores,,IFZA,
Agricultural Research & Consultancy,100127.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,IFZA,
Agricultural Tractors & Machinery Trading,100129.0,47,477,4773,Other retail sale of new goods in specialized stores,,IFZA,
Air Cargo Agent,100138.0,52,522,5229,Other transportation support activities,,IFZA,
Air Cargo Services,100139.0,52,522,5224,Cargo handling,,IFZA,
Air-Condition Trading,100141.0,46,465,4659,Wholesale of other machinery and equipment,,IFZA,
"Air-Condition, Refrigeration Spare Parts & Components Trading",100144.0,46,465,4659,Wholesale of other machinery and equipment,,IFZA,
Aircraft & Requisites Leasing,100156.0,77,773,7730,"Renting and leasing of other machinery, equipment and tangible goods",,IFZA,
Aircraft Classification Services,100159.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,IFZA,
Aircraft Scrap & Used Spare Parts Trading,100165.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,IFZA,
Aircraft Spare Parts & Components Trading,100167.0,47,477,4773,Other retail sale of new goods in specialized stores,,IFZA,
Aircraft Spare Parts & Components Trading Abroad,100167.0,46,465,4659,Wholesale of other machinery and equipment,,IFZA,
Aircrafts Precision Systems Technological Development,100172.0,72,721,7210,Research and experimental development on natural sciences and engineering,,IFZA,
Airline Inflight Products Trading,100173.0,46,465,4659,Wholesale of other machinery and equipment,,IFZA,
Airplane Management & Operation,100176.0,52,522,5223,Service activities incidental to air transportation,,IFZA,
Airport Equipment Trading,100178.0,46,465,4659,Wholesale of other machinery and equipment,,IFZA,
Animal & Poultry Farms Equipment Trading,100207.0,46,465,4659,Wholesale of other machinery and equipment,,IFZA,
Animal Etiquette & Behavior Consultant,100209.0,75,750,7500,Veterinary activities,,IFZA,
Animals And Birds Requisites Trading,100217.0,47,477,4773,Other retail sale of new goods in specialized stores,,IFZA,
Animals Transport,100220.0,49,492,4923,Freight transport by road,,IFZA,
Antennas Installation & Repair,100222.0,95,952,9521,Repair of consumer electronics,,IFZA,
Antennas Trading,100224.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,IFZA,
Antiques & Rare Collections Repair,100227.0,95,952,9529,Repair of other personal and household goods,,IFZA,
Aquarium & Display Cases Trading,100235.0,47,477,4773,Other retail sale of new goods in specialized stores,,IFZA,
Arabwear Trading,100239.0,47,477,4771,"Retail sale of clothing, footwear and leather articles in specialized stores",,IFZA,
Architectural Design Consultancy Abroad,100250.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,IFZA,
Architectural Prospective Drawings Services,100254.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,IFZA,
Art Gallery,100259.0,90,900,9000,"Creative, arts and entertainment activities",,IFZA,
Artificial Flowers & Plants Trading,100265.0,46,464,4649,Wholesale of other household goods,,IFZA,
Artificial Intelligence Developing Services,100266.0,72,722,7220,Research and experimental development on social sciences and humanities,,IFZA,
Artistic Talent Contracting,100273.0,90,900,9000,"Creative, arts and entertainment activities",,IFZA,
Astronomy Equipment Trade,100289.0,46,465,4659,Wholesale of other machinery and equipment,,IFZA,
Auction Organizing,100293.0,82,829,8299,Other business support service activities n.e.c.,,IFZA,
Audio Recorded Media Distribution,100297.0,59,592,5920,Sound recording and music publishing activities,,IFZA,
Audio Recorded Media Reproduction Studio,100298.0,59,592,5920,Sound recording and music publishing activities,,IFZA,
Audio Recorded Media Trading,100299.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,IFZA,
"Audio-visual, Recording Equipment & Accessories Trading",100302.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,IFZA,
Auditing Of Accounts,100305.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,IFZA,
"Auditing, Reviewing &Testing Cyber Risks",100306.0,62,620,6202,Computer consultancy and computer facilities management activities,,IFZA,
"Authentic Antiques, Artefacts & Artworks Trading",100308.0,46,464,4649,Wholesale of other household goods,,IFZA,
Authentic Artifacts & Antiques Auction House,100309.0,46,461,4610,Wholesale on a fee or contract basis,,IFZA,
