activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
Academic Tutoring Services,100006.0,85,854,8549,Other education n.e.c.,,Meydan,
Accidents & Liabilities Insurance,100008.0,65,651,6511,Life insurance,,Meydan,
Accounting & Bookkeeping,100010.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,Meydan,
Accounting & Office Machinery Rental,100011.0,77,773,7730,"Renting and leasing of other machinery, equipment and tangible goods",,Meydan,
"Accounting, Bookkeeping And Auditing Activities; Tax Consultancy",100010.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,Meydan,
Acids and Alkalines Trading,100013.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,Meydan,
"Acquiring Film, Video Tape And Dvd Distribution Rights",100015.0,59,591,5913,"Motion picture, video and television programme distribution activities",,Meydan,
"Activities Auxiliary To Financial Service Activities, Except Insurance And Pension Funding",100017.0,66,661,6610,"Activities auxiliary to financial service activities, except insurance and pension funding",,Meydan,
"Activities Auxiliary To Insurance And Pension Funding
",100018.0,66,662,6620,Activities auxiliary to insurance and pension funding,,Meydan,
"Activities Carried On By Agents And Agencies On Behalf Of Individuals Usually Involving The Obtaining Of Engagements In Motion Picture, Theatrical Production Or Other Entertainment Or Sports Attractions And The Placement Of Books, Plays, Artworks, Photographs Etc., With Publishers, Producers Etc.",100019.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,Meydan,
"Activities Involved In Or Closely Related To Insurance And Pension Funding (Except Claims Adjusting And Insurance Agents):
 • Salvage Administration
 • Actuarial Services",100020.0,66,662,6629,Other activities auxiliary to insurance and pension funding,,Meydan,
Activities Of Commission Agents And All Other Wholesalers Who Trade On Behalf And On The Account Of Others,100033.0,46,461,4610,Wholesale on a fee or contract basis,,Meydan,
"Activities of those involved in bringing sellers and buyers together or undertaking commercial transactions on behalf of a principal, including on the internet",100075.0,46,461,4610,Wholesale on a fee or contract basis,,Meydan,
Activities Related To Promotion Of Sporting Events,100079.0,93,931,9319,Other sports activities,,Meydan,
"Activities Related To Water Transport Of Passengers, Animals, Or Freight:• Operation Of Terminal Facilities Such As Harbours And Piers,• Operation Of Waterway Locks Etc.,• Navigation, Pilotage And Berthing Activities,• Lighterage, Salvage Activities• Lighthouse Activities",100080.0,52,522,5222,Service activities incidental to water transportation,,Meydan,
Acupuncture Center,100082.0,86,869,8690,Other human health activities,,Meydan,
Addiction Rehabilitation Center,100083.0,87,872,8720,"Residential care activities for mental retardation, mental health and substance abuse",,Meydan,
Address Bar Coding Services,100084.0,82,829,8299,Other business support service activities n.e.c.,,Meydan,
