activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
Academic tutoring services,100006.0,85,854,8549,Other education n.e.c.,,SHAMS,
"Accounting, bookkeeping and auditing activities; tax consultancy",100010.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,SHAMS,
"Acquiring film, video tape and DVD distribution rights",100015.0,59,591,5913,"Motion picture, video and television programme distribution activities",,SHAMS,
Acting and Related Arts Training,100016.0,85,854,8542,Cultural education,,SHAMS,
"Activities auxiliary to financial service activities, except insurance and pension funding",100017.0,66,661,6610,"Activities auxiliary to financial service activities, except insurance and pension funding",,SHAMS,
Activities auxiliary to insurance and pension funding,100018.0,66,662,6620,Activities auxiliary to insurance and pension funding,,SHAMS,
"Activities carried on by agents and agencies on behalf of individuals usually involving the obtaining of engagements in motion picture, theatrical production or other entertainment or sports attractions and the placement of books, plays, artworks, photographs etc., with publishers, producers etc.",100019.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SHAMS,
"Activities involved in or closely related to insurance and pension funding (except claims adjusting and activities of insurance agents):
 • Salvage administration
 • Actuarial services",100020.0,66,662,6629,Other activities auxiliary to insurance and pension funding,,SHAMS,
"Activities of agencies primarily engaged in selling travel, tour, transportation and accommodation services to the general public and commercial clients",100021.0,79,791,7911,Travel agency activities,,SHAMS,
"Activities of associations of specialists engaged in cultural activities, such as associations of writers, painters, performers of various kinds, journalists etc.",100023.0,94,941,9412,Activities of professional membership organizations,,SHAMS,
Activities of assuming all or part of the risk associated with existing insurance policies originally underwritten by other insurance carriers,100024.0,65,652,6520,Reinsurance,,SHAMS,
Activities of auctioning houses (retail),100025.0,47,477,4774,Retail sale of second-hand goods,,SHAMS,
Activities of business and employers,100026.0,94,941,9411,Activities of business and employers membership organizations,,SHAMS,
Activities of business and employers membership organizations,100026.0,94,941,9411,Activities of business and employers membership organizations,,SHAMS,
Activities of call centres,100027.0,82,822,8220,Activities of call centres,,SHAMS,
"Activities of casting agencies and bureaus, such as theatrical casting agencies",100028.0,78,781,7810,Activities of employment placement agencies,,SHAMS,
Activities of cine-clubs,100030.0,59,591,5914,Motion picture projection activities,,SHAMS,
Activities of collection agencies and credit bureaus,100031.0,82,829,8291,Activities of collection agencies and credit bureaus,,SHAMS,
Activities of commercial art galleries,100032.0,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Activities of commission agents and all other wholesalers who trade on behalf and on the account of others,100033.0,46,461,4610,Wholesale on a fee or contract basis,,SHAMS,
"Activities of consultants other than architecture, engineering and management consultants",100034.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SHAMS,
Activities of customs agents,100035.0,52,522,5229,Other transportation support activities,,SHAMS,
Activities of employment placement agencies,100036.0,78,781,7810,Activities of employment placement agencies,,SHAMS,
Activities of food service contractors (e.g. for transportation companies),100038.0,56,562,5629,Other food service activities,,SHAMS,
Activities of graphic designers,100039.0,74,741,7410,Specialized design activities,,SHAMS,
Activities of head offices,100040.0,70,701,7010,Activities of head offices,,SHAMS,
Activities of holding companies,100041.0,64,642,6420,Activities of holding companies,,SHAMS,
"Activities of inbound call centres, answering calls from clients by using human operators, automatic call distribution, computer telephone integration, interactive voice response systems or similar methods to receive orders, provide product information, deal with customer requests for assistance or address customer complaints",100042.0,82,822,8220,Activities of call centres,,SHAMS,
Activities of independent auctioneers,100043.0,82,829,8299,Other business support service activities n.e.c.,,SHAMS,
Activities of independent journalists,100044.0,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
"Activities of individual own-account sportsmen and athletes, referees, judges, timekeepers etc.",100045.0,93,931,9319,Other sports activities,,SHAMS,
"Activities of individual writers, for all subjects including fictional writing, technical writing etc.",100046.0,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
Activities of insurance agents and brokers,100047.0,66,662,6622,Activities of insurance agents and brokers,,SHAMS,
"Activities of insurance agents and brokers (insurance intermediaries) in selling, negotiating or soliciting of annuities and insurance and reinsurance policies",100047.0,66,662,6622,Activities of insurance agents and brokers,,SHAMS,
Activities of interior decorators,100048.0,74,741,7410,Specialized design activities,,SHAMS,
Activities of learned societies,100049.0,94,949,9499,Activities of other membership organizations n.e.c.,,SHAMS,
Activities of millwrights,100050.0,33,332,3320,Installation of industrial machinery and equipment,,SHAMS,
Activities of mortgage advisers and brokers,100051.0,66,661,6619,Other activities auxiliary to financial service activities,,SHAMS,
"Activities of motion picture film laboratories and activities of special laboratories for animated films:
 • Developing and processing motion picture film
 • Reproduction of motion picture film for theatrical distribution",100052.0,59,591,5912,"Motion picture, video and television programme post-production activities",,SHAMS,
Activities of mountain guides,100053.0,93,931,9319,Other sports activities,,SHAMS,
Activities of non-store auctions (retail),100054.0,47,479,4791,Retail sale via mail order houses or via Internet,,SHAMS,
Activities of on-line employment placement agencies,100036.0,78,781,7810,Activities of employment placement agencies,,SHAMS,
Activities of opticians,100055.0,47,477,4773,Other retail sale of new goods in specialized stores,,SHAMS,
"Activities of organizations whose members’ interests centre chiefly on a particular scientific discipline, professional practice or technical field, such as medical associations, legal associations, accounting associations, engineering associations, architects associations etc.",100057.0,94,941,9412,Activities of professional membership organizations,,SHAMS,
"Activities of organizations whose members’ interests centre on the development and prosperity of enterprises in a particular line of business or trade, including farming, or on the economic growth and climate of a particular geographical area without regard for the line of business.",100058.0,94,941,9411,Activities of business and employers membership organizations,,SHAMS,
Activities of other membership organizations,100059.0,94,949,9499,Activities of other membership organizations n.e.c.,,SHAMS,
Activities of other membership organizations n.e.c.,100059.0,94,949,9499,Activities of other membership organizations n.e.c.,,SHAMS,
"Activities of outbound call centers using similar methods to sell or market goods or services to potential customers, undertake market research or public opinion polling and similar activities for clients",100060.0,82,822,8220,Activities of call centres,,SHAMS,
Activities of photojournalists,100061.0,74,742,7420,Photographic activities,,SHAMS,
"Activities of producers or entrepreneurs of arts live events, with or without facilities",100062.0,90,900,9000,"Creative, arts and entertainment activities",,SHAMS,
"Activities of producers or promoters of sports events, with or without facilities",100064.0,93,931,9319,Other sports activities,,SHAMS,
Activities of professional membership organizations,100065.0,94,941,9412,Activities of professional membership organizations,,SHAMS,
Activities of quantity surveyors,100066.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SHAMS,
Activities of racing garages,100067.0,93,931,9319,Other sports activities,,SHAMS,
"Activities of radio networks, i.e. assembling and transmitting aural programming to the affiliates or subscribers via over-the-air broadcasts, cable or satellite",100068.0,60,601,6010,Radio broadcasting,,SHAMS,
