activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
3 D printing Training,100003.0,85,854,8549,Other education n.e.c.,,SPC,
Academic tutoring services,100006.0,85,854,8549,Other education n.e.c.,,SPC,
Accounting & Bookkeeping,100010.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,SPC,
Accounting & Office Machinery Rental,100011.0,77,773,7730,"Renting and leasing of other machinery, equipment and tangible goods",,SPC,
"Accounting, bookkeeping and auditing activities; tax consultancy",100010.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,SPC,
"Accounting, bookkeeping and auditing activities; tax consultancy",100010.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,SPC,
"Acquiring film, video tape and DVD distribution rights",100015.0,59,591,5913,"Motion picture, video and television programme distribution activities",,SPC,
Acting and Related Arts Training,100016.0,85,854,8542,Cultural education,,SPC,
"Activities Auxiliary To Financial Service Activities, Except Insurance And Pension Funding",100017.0,66,661,6610,"Activities auxiliary to financial service activities, except insurance and pension funding",,SPC,
"Activities carried on by agents and agencies on behalf of individuals usually involving the obtaining of engagements in motion picture, theatrical production or other entertainment or sports attractions and the placement of books, plays, artworks, photographs etc., with publishers, producers etc.",100019.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SPC,
"Activities of agencies primarily engaged in selling travel, tour, transportation and accommodation services to the general public and commercial clients",100021.0,79,791,7911,Travel agency activities,,SPC,
"Activities of associations of specialists engaged in cultural activities, such as associations of writers, painters, performers of various kinds, journalists etc.",100023.0,94,941,9412,Activities of professional membership organizations,,SPC,
Activities of business and employers membership organizations,100026.0,94,941,9411,Activities of business and employers membership organizations,,SPC,
Activities of call centres,100027.0,82,822,8220,Activities of call centres,,SPC,
"Activities of casting agencies and bureaus, such as theatrical casting agencies",100028.0,78,781,7810,Activities of employment placement agencies,,SPC,
"Activities of chambers of commerce, guilds and similar organizations",100029.0,94,941,9412,Activities of professional membership organizations,,SPC,
Activities of cine clubs,100030.0,59,591,5914,Motion picture projection activities,,SPC,
Activities of commercial art galleries,100032.0,90,900,9000,"Creative, arts and entertainment activities",,SPC,
Activities of commission agents and all other wholesalers who trade on behalf and on the account of others,100033.0,46,461,4610,Wholesale on a fee or contract basis,,SPC,
"Activities of consultants other than architecture, engineering and management consultants",100034.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SPC,
Activities of customs agents,100035.0,52,522,5229,Other transportation support activities,,SPC,
Activities of employment placement agencies,100036.0,78,781,7810,Activities of employment placement agencies,,SPC,
Activities of federations of such associations,100037.0,94,941,9411,Activities of business and employers membership organizations,,SPC,
Activities of graphic designers,100039.0,74,741,7410,Specialized design activities,,SPC,
Activities of head offices,100040.0,70,701,7010,Activities of head offices,,SPC,
Activities of head offices,100040.0,70,701,7010,Activities of head offices,,SPC,
Activities of holding companies,100041.0,64,642,6420,Activities of holding companies,,SPC,
"Activities of inbound call centres, answering calls from clients by using human operators, automatic call distribution, computer telephone integration, interactive voice response systems or similar methods to receive orders, provide product information, deal with customer requests for assistance or address customer complaints",100042.0,82,822,8220,Activities of call centres,,SPC,
Activities of independent journalists,100044.0,90,900,9000,"Creative, arts and entertainment activities",,SPC,
"Activities of individual own-account sportsmen and athletes, referees, judges, timekeepers etc.",100045.0,93,931,9319,Other sports activities,,SPC,
"Activities of individual writers, for all subjects including fictional writing, technical writing etc.",100046.0,90,900,9000,"Creative, arts and entertainment activities",,SPC,
Activities of interior decorators,100048.0,74,741,7410,Specialized design activities,,SPC,
Activities of learned societies,100049.0,94,949,9499,Activities of other membership organizations n.e.c.,,SPC,
Activities of millwrights,100050.0,33,332,3320,Installation of industrial machinery and equipment,,SPC,
"Activities of motion picture film laboratories, including developing and processing films and reproducing them for theatrical distribution.",100052.0,59,591,5912,"Motion picture, video and television programme production activities",,SPC,
Activities of mountain guides,100053.0,93,931,9319,Other sports activities,,SPC,
Activities of on-line employment placement agencies,100036.0,78,781,7810,Activities of employment placement agencies,,SPC,
Activities of opticians,100055.0,47,477,4773,Other retail sale of new goods in specialized stores,,SPC,
"Activities of organizations not directly affiliated to a political party furthering a public cause or issue by means of public education, political influence, fund-raising etc.: • Environmental and ecological movements • Organizations supporting community and educational facilities n.e.c. • Organizations for the protection and betterment of special groups, e.g. minority groups • Associations for patriotic purposes, including war veterans’ associations",100056.0,94,941,9411,Activities of business and employers membership organizations,,SPC,
"Activities of organizations whose members’ interests centre chiefly on a particular scientific discipline, professional practice or technical field, such as medical associations, legal associations, accounting associations, engineering associations, architects associations etc.",100057.0,94,941,9412,Activities of professional membership organizations,,SPC,
"Activities of organizations whose members’ interests centre on the development and prosperity of enterprises in a particular line of business or trade, including farming, or on the economic growth and climate of a particular geographical area without regard for the line of business.",100058.0,94,941,9411,Activities of business and employers membership organizations,,SPC,
"Activities of outbound call centers using similar methods to sell or market goods or services to potential customers, undertake market research or public opinion polling and similar activities for clients",100060.0,82,822,8220,Activities of call centres,,SPC,
Activities of photojournalists,100061.0,74,742,7420,Photographic activities,,SPC,
"Activities of producers or entrepreneurs of arts live events, with or without facilities",100062.0,90,900,9000,"Creative, arts and entertainment activities",,SPC,
"activities of producers or entrepreneurs of live events other than arts or sports events, with or without facilities",100063.0,93,932,9329,Other amusement and recreation activities n.e.c.,,SPC,
"Activities of producers or promoters of sports events, with or without facilities",100064.0,93,931,9319,Other sports activities,,SPC,
Activities of quantity surveyors,100066.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SPC,
"Activities of racing stables, kennels and garages",100067.0,93,931,9319,Other sports activities,,SPC,
"Activities of radio networks, i.e. assembling and transmitting aural programming to the affiliates or subscribers via over-the-air broadcasts, cable or satellite",100068.0,60,601,6010,Radio broadcasting,,SPC,
"Activities of recreation parks, beaches, including renting of facilities such as bathhouses, lockers, chairs etc.",100069.0,93,932,9329,Other amusement and recreation activities n.e.c.,,SPC,
"Activities of sculptors, painters, cartoonists, engravers, etchers etc.",100070.0,90,900,9000,"Creative, arts and entertainment activities",,SPC,
Activities of sea freight forwarders and air cargo agents,100071.0,52,522,5229,Other transportation support activities,,SPC,
Activities of sports clubs,100072.0,93,931,9312,Activities of sports clubs,,SPC,
