activity name,activity code,division,group,class,isic description,activity description,jurisdiction,status
3D Printing Products Production (Additive Manufacturing) Services,100004.0,32,329,3290,Other manufacturing n.e.c.,,SRTIP,
Academic Liaison Office,100005.0,85,855,8550,Educational support activities,,SRTIP,
Accounting and Bookkeeping,100010.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,SRTIP,
Accounting Records and Books Keeping Organization,100010.0,69,692,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,SRTIP,
Accounting Training,100012.0,85,854,8549,Other education n.e.c.,,SRTIP,
Acids and Alkalines Trading,100013.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,SRTIP,
Acting and Related Arts Training,100016.0,85,854,8542,Cultural education,,SRTIP,
Adhesives Trading,100087.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,SRTIP,
Administrative Consultancy and Studies,100089.0,70,702,7020,Management consultancy activities,,SRTIP,
Administrative Services - Businessmen Services,100090.0,82,821,8211,Combined office administrative service activities,,SRTIP,
Administrative Training Services,100091.0,85,855,8550,Educational support activities,,SRTIP,
Advertisement ,100096.0,73,731,7310,Advertising,,SRTIP,
Advertisement Designing and Producing Services,100096.0,73,731,7310,Advertising,,SRTIP,
Advertisements Designing and Production,100096.0,73,731,7310,Advertising,,SRTIP,
Advertising and Communication Agency,100096.0,73,731,7310,Advertising,,SRTIP,
Advertising Catalogues Printing,100098.0,18,181,1811,Printing,,SRTIP,
Advertising Requisites Trading,100099.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
Advertising Researches and Consultancy,100100.0,73,731,7310,Advertising,,SRTIP,
Advertising Services Through Websites,100101.0,73,731,7310,Advertising,,SRTIP,
Aerial Advertising Services,100106.0,73,731,7310,Advertising,,SRTIP,
Agarwood and Incense Trading,100110.0,46,464,4649,Wholesale of other household goods,,SRTIP,
Agricultural and Veterinary Pesticides Trading,100115.0,47,477,4773,Other retail sale of new goods in specialized stores,,SRTIP,
"Agricultural Enterprises Investment, Institution and Management",100117.0,66,663,6630,Fund management activities,,SRTIP,
Agricultural Equipment and Accessories Trading,100118.0,46,465,4653,"Wholesale of agricultural machinery, equipment and supplies",,SRTIP,
Agricultural Equipment and Machinery Spare Parts Trading,100120.0,46,465,4653,"Wholesale of agricultural machinery, equipment and supplies",,SRTIP,
Agricultural Research and Consultancy,100127.0,74,749,7490,"Other professional, scientific and technical activities n.e.c.",,SRTIP,
Agricultural Tools Trading,100128.0,47,475,4752,"Retail sale of hardware, paints and glass in specialized stores",,SRTIP,
Air Advertisements,100136.0,73,731,7310,Advertising,,SRTIP,
Air Cargo Agent,100138.0,52,522,5229,Other transportation support activities,,SRTIP,
Air Cargo Services,100139.0,52,522,5224,Cargo handling,,SRTIP,
Air Freight and Passengers Charters Services,100146.0,51,511,5110,Passenger air transport,,SRTIP,
Air Means of Transportation Inspection and Classification,100147.0,71,712,7120,Technical testing and analysis,,SRTIP,
Air-Condition Trading,100141.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
"Air-Condition, Ventilations, Air Filtration Systems Installation and Maintenance",100152.0,43,432,4322,"Plumbing, heat and air-conditioning installation",,SRTIP,
"Air-Conditioning, Ventilations and Air Filtration Systems Trading",100155.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
Aircondition and Refrigeration Spare Parts Trading,100144.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
Aircraft Charter and Equipment Rental,100158.0,77,773,7730,"Renting and leasing of other machinery, equipment and tangible goods",,SRTIP,
Aircraft Scrap and Used Spare Parts Trading,100165.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,SRTIP,
Aircraft Spare Parts and Components Trading,100167.0,47,477,4773,Other retail sale of new goods in specialized stores,,SRTIP,
Aircraft Trading,100168.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
Aircrafts and Helicopters Trading,100170.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
Airplanes Management and Operation,100176.0,52,522,5223,Service activities incidental to air transportation,,SRTIP,
Airport Equipment Trading,100178.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
Animal and Poultry Farms Equipment Trading,100207.0,46,465,4659,Wholesale of other machinery and equipment,,SRTIP,
Animal Etiquette and Behaviour Consultancy,100209.0,75,750,7500,Veterinary activities,,SRTIP,
Animal Feed Trading,100211.0,46,462,4620,Wholesale of agricultural raw materials and live animals,,SRTIP,
Animal Fodder Supplements Trading,100212.0,46,466,4669,Wholesale of waste and scrap and other products n.e.c.,,SRTIP,
Antennas Trading,100224.0,46,465,4652,Wholesale of electronic and telecommunications equipment and parts,,SRTIP,
Aquarium and Display Cases Trading,100235.0,47,477,4773,Other retail sale of new goods in specialized stores,,SRTIP,
Arabic Language Institute,100244.0,85,854,8549,Other education n.e.c.,,SRTIP,
Arabwear Trading,100239.0,47,477,4771,"Retail sale of clothing, footwear and leather articles in specialized stores",,SRTIP,
Archeological Restoration and Conservation Engineering Consultancy,100246.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Architectural Design Consultancy,100250.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Architectural Designing Engineering and City Planning Consultancy,100251.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Architectural Engineering Consultancy,100252.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
Architectural Production and Drawing Technical Consultancy,100253.0,71,711,7110,Architectural and engineering activities and related technical consultancy,,SRTIP,
